video_id,title,publish_date,viewCount,likeCount,dislikeCount,commentCount,subject,link
C5EjS_ZEE_I,EL VY: NPR Music Tiny Desk Concert,2016-01-29,140499,1409,37,94,EL VY:,https://www.youtube.com/watch?v=C5EjS_ZEE_I
-Q9uIhuvUKc,Diego El Cigala: NPR Music Tiny Desk Concert,2015-05-04,134255,1738,23,106,Diego El Cigala:,https://www.youtube.com/watch?v=-Q9uIhuvUKc
dYOXPzcoPeA,Trey Anastasio: NPR Music Tiny Desk Concert,2015-01-08,130286,757,34,97,Trey Anastasio:,https://www.youtube.com/watch?v=dYOXPzcoPeA
52tp2B4YR_c,They Might Be Giants: NPR Music Tiny Desk Concert,2011-07-28,129617,1179,21,152,They Might Be Giants:,https://www.youtube.com/watch?v=52tp2B4YR_c
qM1Mtz35bmU,And The Kids: NPR Music Tiny Desk Concert,2015-06-30,129357,1643,60,137,And The Kids:,https://www.youtube.com/watch?v=qM1Mtz35bmU
Q5XmnmEyaKQ,The Jayhawks: NPR Music Tiny Desk Concert,2016-08-08,127188,1375,17,123,The Jayhawks:,https://www.youtube.com/watch?v=Q5XmnmEyaKQ
4KbPdFZ24F4,Xenia Rubinos: NPR Music Tiny Desk Concert,2016-07-25,118100,2066,105,172,Xenia Rubinos:,https://www.youtube.com/watch?v=4KbPdFZ24F4
iRENaUQc5No,Sharon Jones & The Dap-Kings: Tiny Desk Concert (full),2015-12-21,108560,1428,23,78,Sharon Jones & The Dap-Kings,https://www.youtube.com/watch?v=iRENaUQc5No
hU3P6dlNaB4,Lila Downs: NPR Music Tiny Desk Concert,2017-01-21,108267,2601,52,191,Lila Downs:,https://www.youtube.com/watch?v=hU3P6dlNaB4
7d2mC9zDkKE,Rapsody: NPR Music Tiny Desk Concert,2016-01-05,95364,2016,70,163,Rapsody:,https://www.youtube.com/watch?v=7d2mC9zDkKE
oIbFjfH0erI,Donny McCaslin: NPR Music Tiny Desk Concert,2017-01-17,94719,1879,29,106,Donny McCaslin:,https://www.youtube.com/watch?v=oIbFjfH0erI
eXs09v4vzio,Ta-ku & Wafia: NPR Music Tiny Desk Concert,2016-11-14,93985,2281,30,127,Ta-ku & Wafia:,https://www.youtube.com/watch?v=eXs09v4vzio
xIZR52eKgUA,Blind Pilot: NPR Music Tiny Desk Concert,2016-10-28,92694,1334,14,66,Blind Pilot:,https://www.youtube.com/watch?v=xIZR52eKgUA
MAqIrCjOxws,Agnes Obel: NPR Music Tiny Desk Concert,2017-02-22,91786,1885,65,101,Agnes Obel:,https://www.youtube.com/watch?v=MAqIrCjOxws
S9bLHMCnCAk,Margo Price: NPR Music Tiny Desk Concert,2016-12-05,90475,819,50,96,Margo Price:,https://www.youtube.com/watch?v=S9bLHMCnCAk
wuOJF8ecoY8,Brent Cobb: NPR Music Tiny Desk Concert,2017-01-24,85141,1214,25,96,Brent Cobb:,https://www.youtube.com/watch?v=wuOJF8ecoY8
zM1o4OQaIEc,Maren Morris: NPR Music Tiny Desk Concert,2017-03-13,71138,1123,146,133,Maren Morris:,https://www.youtube.com/watch?v=zM1o4OQaIEc
KPw-UZBnOO0,Matt Haimovitz & Christopher O'Riley: NPR Music Tiny Desk Concert,2015-03-16,69486,438,7,23,Matt Haimovitz & Christopher O'Riley:,https://www.youtube.com/watch?v=KPw-UZBnOO0
0plnzlNBxnA,Ninet: Tiny Desk Concert,2017-03-10,58471,1381,56,82,Ninet,https://www.youtube.com/watch?v=0plnzlNBxnA
57vvhrq2SNQ,Delicate Steve: NPR Music Tiny Desk Concert,2017-03-31,53607,968,45,114,Delicate Steve:,https://www.youtube.com/watch?v=57vvhrq2SNQ
0SMTWfLCi8g,Sinkane: Tiny Desk Concert,2017-04-17,37624,1060,12,66,Sinkane,https://www.youtube.com/watch?v=0SMTWfLCi8g
3N7a7bDEqMo,Ljova And The Kontraband: Tiny Desk Concert,2017-04-21,21028,447,27,42,Ljova And The Kontraband,https://www.youtube.com/watch?v=3N7a7bDEqMo
